,danceability,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo,year,release_date,track_id
318,0.218,0.881,-5.049,0.0577,0.423,0.375,0.382,105.116,,,
319,0.496,0.926,-3.257,0.041,0.787,0.293,0.49,109.959,,,
320,0.703,0.736,-5.709,0.046,1.92e-05,0.174,0.274,119.955,,,
321,0.775,0.68,-5.508,0.0629,0.0,0.109,0.656,114.025,,,
322,0.479,0.889,-2.489,0.328,1.65e-05,0.346,0.79,173.136,,,
323,0.705,0.718,-5.912,0.0254,9.82e-05,0.296,0.617,120.016,,,
324,0.19,0.265,-9.206,0.0356,0.0,0.134,0.101,79.012,,,
325,0.491,0.744,-6.306,0.0351,0.000102,0.325,0.375,125.058,,,
326,0.423,0.949,-6.053,0.0582,0.0338,0.457,0.482,159.037,,,
327,0.751,0.731,-4.419,0.0308,0.0,0.0556,0.973,97.007,,,
328,0.676,0.839,-3.922,0.033,0.0,0.0885,0.891,94.013,,,
329,0.541,0.968,-4.129,0.0396,8.28e-06,0.423,0.505,125.04,,,
330,0.645,0.713,-5.355,0.0393,0.0,0.113,0.566,74.989,,,
331,0.111,0.952,-4.864,0.131,0.00645,0.345,0.126,200.074,,,
332,0.235,0.968,-4.758,0.0901,0.0,0.225,0.277,87.955,,,
333,0.137,0.988,-3.369,0.174,0.000711,0.397,0.288,199.993,,,
334,0.623,0.938,-4.161,0.123,0.000852,0.48,0.308,112.022,,,
335,0.412,0.998,-3.683,0.116,0.0199,0.122,0.193,94.999,,,
336,0.506,0.967,-2.973,0.0451,0.41,0.167,0.488,129.704,,,
337,0.246,0.954,-3.811,0.0975,0.291,0.126,0.164,97.553,,,
338,0.224,0.842,-7.283,0.0389,0.693,0.112,0.526,166.441,,,
339,0.461,0.961,-3.011,0.0479,0.14,0.308,0.416,96.009,,,
340,0.523,0.979,-4.214,0.161,2.81e-05,0.153,0.181,125.041,,,
341,0.501,0.968,-5.324,0.12,0.00868,0.683,0.392,149.989,,,
342,0.404,0.964,-4.569,0.115,5.16e-06,0.0888,0.24,84.996,,,
343,0.456,0.968,-3.63,0.0902,0.00111,0.184,0.499,150.002,,,
344,0.841,0.728,-3.37,0.0484,0.0,0.149,0.43,130.049,,,
345,0.467,0.883,-3.679,0.106,0.000152,0.125,0.309,122.252,,,
346,0.546,0.814,-5.146,0.0314,0.0,0.0972,0.146,104.98,,,
347,0.447,0.9,-6.741,0.0578,0.00596,0.47,0.39,135.861,,,
348,0.535,0.948,-4.19,0.0356,0.0,0.376,0.778,103.183,,,
349,0.356,0.872,-7.837,0.068,0.00975,0.0997,0.607,166.3,,,
350,0.613,0.953,-3.435,0.0855,0.000582,0.152,0.537,105.046,,,
351,0.402,0.723,-5.26,0.0579,2e-06,0.233,0.224,160.047,,,
352,0.483,0.862,-3.864,0.0857,0.0,0.227,0.449,124.025,,,
353,0.778,0.547,-7.273,0.0489,0.000302,0.132,0.441,95.002,,,
354,0.537,0.866,-3.08,0.0445,1.44e-06,0.382,0.412,126.003,,,
355,0.788,0.863,-3.022,0.0352,3.44e-06,0.0371,0.805,103.98,,,
356,0.674,0.628,-7.079,0.03,0.0,0.0944,0.552,103.998,,,
357,0.799,0.903,-3.366,0.0449,0.0,0.166,0.963,128.926,,,
358,0.76,0.717,-4.272,0.049,1.31e-06,0.142,0.757,91.825,,,
359,0.67,0.813,-3.509,0.0276,0.0,0.0774,0.24,102.051,,,
360,0.757,0.832,-3.318,0.0758,0.00241,0.661,0.386,125.894,,,
361,0.604,0.777,-4.297,0.0275,4.58e-05,0.621,0.741,106.014,,,
362,0.665,0.535,-7.056,0.0572,1.68e-05,0.154,0.37,138.842,,,
363,0.722,0.64,-5.999,0.169,0.0,0.13,0.128,150.03,,,
364,0.638,0.523,-6.664,0.357,0.0,0.0842,0.422,139.913,,,
365,0.908,0.621,-6.638,0.102,5.39e-05,0.0958,0.421,150.011,,,
366,0.344,0.92,-5.122,0.0487,0.0,0.0816,0.505,115.727,,,
367,0.438,0.992,-4.228,0.102,6.53e-05,0.318,0.466,159.96,,,
368,0.616,0.549,-9.363,0.0412,0.00497,0.0967,0.32,130.011,,,
369,0.892,0.628,-3.832,0.216,0.0,0.102,0.676,92.063,,,
370,0.614,0.574,-7.961,0.466,3.2e-05,0.38,0.755,125.173,,,
371,0.818,0.705,-6.679,0.177,0.00233,0.613,0.772,138.559,,,
372,0.628,0.833,-4.126,0.0282,1.48e-05,0.074,0.56,128.003,,,
373,0.636,0.953,-3.74,0.0353,0.0164,0.108,0.397,142.011,,,
374,0.467,0.757,-3.01,0.0517,0.0,0.0742,0.383,131.993,,,
375,0.646,0.814,-4.547,0.0433,6.42e-05,0.118,0.326,127.978,,,
376,0.748,0.524,-5.599,0.0338,0.0,0.111,0.661,95.01,,,
377,0.584,0.54,-7.786,0.0576,0.0,0.261,0.195,137.972,,,
378,0.685,0.508,-6.4,0.0987,0.0,0.139,0.315,99.063,,,
379,0.449,0.599,-4.892,0.0369,0.0,0.327,0.165,134.144,,,
380,0.68,0.578,-5.804,0.04,0.0,0.135,0.341,145.038,,,
381,0.506,0.693,-7.265,0.0412,9.58e-05,0.0891,0.221,139.912,,,
382,0.556,0.538,-5.408,0.0382,0.0,0.196,0.291,143.95,,,
383,0.828,0.56,-6.685,0.0327,3.66e-05,0.15,0.872,122.054,,,
384,0.686,0.718,-5.054,0.0431,0.000703,0.119,0.557,115.026,,,
385,0.674,0.695,-8.636,0.278,0.00202,0.194,0.773,151.486,,,
386,0.829,0.428,-9.469,0.0831,0.00413,0.137,0.45,148.075,,,
387,0.577,0.447,-5.892,0.277,0.00022,0.0899,0.189,74.236,,,
388,0.895,0.681,-5.267,0.358,0.0,0.189,0.554,121.918,,,
389,0.927,0.665,-5.313,0.244,0.0,0.123,0.175,127.076,,,
390,0.79,0.621,-7.634,0.275,0.0,0.122,0.15,118.895,,,
391,0.765,0.762,-5.069,0.123,8.58e-05,0.104,0.444,114.975,,,
392,0.355,0.918,-4.36,0.0746,0.0,0.0971,0.24,148.114,,,
393,0.523,0.714,-7.552,0.0683,0.00359,0.113,0.359,128.968,,,
394,0.337,0.988,-3.984,0.185,0.0,0.0872,0.251,125.508,,,
395,0.702,0.869,-1.908,0.0351,0.00742,0.127,0.162,140.123,,,
396,0.353,0.96,-5.588,0.227,0.000371,0.926,0.267,180.061,,,
397,0.448,0.986,-3.783,0.126,0.0424,0.0548,0.135,140.046,,,
398,0.422,0.978,-6.727,0.0664,0.219,0.0355,0.137,149.989,,,
399,0.315,0.984,-4.584,0.186,0.0016,0.156,0.308,179.981,,,
400,0.449,0.937,-6.333,0.0652,9.65e-06,0.101,0.249,93.679,,,
401,0.453,0.907,-4.133,0.0832,8.87e-06,0.0683,0.458,115.068,,,
402,0.362,0.905,-4.139,0.066,0.736,0.0915,0.269,126.769,,,
403,0.232,0.914,-4.216,0.0337,0.00343,0.202,0.585,98.665,,,
404,0.449,0.967,-5.145,0.0644,0.489,0.528,0.203,109.98,,,
405,0.259,0.872,-5.469,0.0477,0.544,0.0957,0.503,98.501,,,
406,0.403,0.946,-3.943,0.0467,0.0719,0.0702,0.0973,147.971,,,
407,0.186,0.942,-5.186,0.087,0.159,0.134,0.282,170.119,,,
408,0.401,0.964,-5.414,0.139,6.95e-05,0.0886,0.402,184.139,,,
409,0.518,0.921,-6.027,0.0433,0.811,0.105,0.265,104.974,,,
410,0.226,0.898,-5.053,0.0702,0.0241,0.206,0.267,125.799,,,
411,0.351,0.989,-3.206,0.0935,0.174,0.972,0.608,175.061,,,
412,0.607,0.813,-4.666,0.0456,0.000149,0.106,0.391,130.067,,,
413,0.245,0.822,-6.176,0.0343,0.0108,0.151,0.219,157.659,,,
414,0.591,0.906,-5.684,0.0354,0.205,0.0553,0.62,124.466,,,
415,0.244,0.727,-6.62,0.0452,0.0,0.341,0.529,110.013,,,
416,0.442,0.976,-5.375,0.0665,0.00259,0.176,0.688,94.999,,,
417,0.217,0.531,-8.535,0.0326,0.0211,0.19,0.164,139.83,,,
418,0.229,0.817,-8.009,0.054,0.0662,0.123,0.372,92.187,,,
419,0.25,0.899,-7.838,0.0743,0.0369,0.103,0.292,124.84,,,
420,0.169,0.875,-10.04,0.054,0.894,0.797,0.25,92.514,,,
421,0.493,0.96,-5.237,0.0574,0.846,0.0622,0.481,92.499,,,
422,0.231,0.823,-6.193,0.0519,0.00157,0.148,0.0623,123.95,,,
423,0.342,0.864,-7.249,0.0435,0.163,0.139,0.0828,142.364,,,
424,0.314,0.937,-3.987,0.101,0.00418,0.0901,0.469,139.769,,,
425,0.468,0.769,-7.036,0.041,0.00124,0.271,0.17,104.102,,,
426,0.461,0.987,-1.711,0.108,8.48e-05,0.359,0.309,142.031,,,
427,0.459,0.966,-3.985,0.0758,0.017,0.217,0.376,175.069,,,
428,0.143,0.995,-5.698,0.185,0.438,0.364,0.079,87.803,,,
429,0.364,0.935,-6.548,0.0724,0.729,0.0317,0.478,92.717,,,
430,0.458,0.909,-4.414,0.0446,0.758,0.283,0.49,105.007,,,
431,0.496,0.981,-3.268,0.108,0.0,0.0958,0.163,109.905,,,
432,0.662,0.507,-8.238,0.118,0.0,0.0465,0.676,86.412,,,
433,0.727,0.552,-8.074,0.14,0.000164,0.198,0.607,168.189,,,
434,0.835,0.707,-5.074,0.0598,2.19e-05,0.108,0.919,93.955,,,
435,0.908,0.557,-4.243,0.107,0.0,0.0709,0.897,90.032,,,
436,0.907,0.695,-6.268,0.135,0.0,0.0808,0.961,101.007,,,
437,0.712,0.772,-3.024,0.346,4.35e-06,0.0368,0.848,84.722,,,
438,0.797,0.75,-9.369,0.247,0.108,0.095,0.74,177.87,,,
439,0.894,0.404,-5.913,0.13,1.57e-06,0.0801,0.759,102.009,,,
440,0.934,0.459,-7.654,0.189,0.0,0.222,0.697,103.04,,,
441,0.884,0.677,-5.603,0.283,0.0,0.0732,0.584,101.868,,,
442,0.911,0.551,-3.75,0.0449,4.12e-05,0.0863,0.969,92.887,,,
443,0.854,0.692,-6.625,0.0479,0.0,0.247,0.753,101.865,,,
444,0.833,0.515,-5.0,0.0462,0.00156,0.116,0.4,97.035,,,
445,0.582,0.879,-4.703,0.0363,0.0011,0.39,0.386,107.038,,,
446,0.603,0.933,-3.358,0.171,0.0,0.206,0.709,96.306,,,
447,0.412,0.964,-7.557,0.169,0.146,0.502,0.232,142.536,,,
448,0.511,0.947,-4.917,0.0457,0.0,0.117,0.494,104.046,,,
449,0.481,0.932,-4.592,0.083,0.0,0.337,0.543,149.992,,,
450,0.46,0.876,-5.39,0.045,0.798,0.151,0.499,164.992,,,
451,0.266,0.849,-4.978,0.0485,0.0,0.0699,0.298,93.993,,,
452,0.499,0.963,-2.729,0.0578,0.000507,0.608,0.16,123.981,,,
453,0.475,0.726,-8.956,0.0306,0.0,0.122,0.679,165.07,,,
454,0.286,0.982,-3.828,0.131,0.00675,0.309,0.118,110.629,,,
455,0.413,0.873,-4.151,0.0536,0.00249,0.204,0.48,116.68,,,
456,0.611,0.648,-4.579,0.0441,0.0028,0.0846,0.457,132.983,,,
457,0.517,0.887,-7.637,0.0732,0.00258,0.151,0.531,166.008,,,
458,0.546,0.97,-2.661,0.097,2.08e-05,0.275,0.383,100.065,,,
459,0.6,0.849,-5.788,0.0376,0.00205,0.0745,0.257,140.002,,,
460,0.211,0.949,-5.724,0.214,0.000535,0.103,0.0642,105.578,,,
461,0.392,0.966,-3.863,0.172,0.0473,0.239,0.0764,139.83,,,
462,0.466,0.986,-3.465,0.197,0.0306,0.284,0.244,135.063,,,
463,0.352,0.956,-3.634,0.149,0.0203,0.125,0.228,122.897,,,
464,0.407,0.863,-7.968,0.0704,0.591,0.128,0.519,113.98,,,
465,0.625,0.763,-4.997,0.129,0.0106,0.214,0.721,88.753,,,
466,0.704,0.634,-7.374,0.0428,3.17e-05,0.0952,0.411,113.927,,,
467,0.655,0.818,-3.626,0.033,0.0,0.106,0.474,115.971,,,
468,0.56,0.857,-4.145,0.0384,0.0,0.381,0.432,119.975,,,
469,0.367,0.774,-6.877,0.124,0.000125,0.173,0.0834,176.135,,,
470,0.629,0.945,-4.423,0.0916,0.0,0.52,0.843,169.88,,,
471,0.261,0.938,-5.125,0.086,0.0106,0.301,0.256,132.47,,,
472,0.417,0.934,-3.908,0.119,0.0015,0.132,0.287,127.066,,,
473,0.486,0.895,-5.358,0.0463,0.849,0.0881,0.327,95.086,,,
474,0.553,0.991,-3.703,0.0925,0.0695,0.179,0.324,114.92,,,
475,0.386,0.445,-11.713,0.0377,0.000243,0.702,0.188,77.881,,,
476,0.544,0.69,-5.723,0.0425,0.0095,0.0615,0.219,123.962,,,
477,0.36,0.505,-9.129,0.026,9.22e-05,0.172,0.317,74.807,,,
478,0.609,0.674,-7.388,0.0548,0.06,0.345,0.315,90.009,,,
479,0.499,0.638,-6.145,0.0438,0.0,0.631,0.253,89.98,,,
480,0.425,0.642,-5.06,0.0502,0.0,0.118,0.112,170.008,,,
481,0.673,0.735,-4.733,0.0457,0.0,0.242,0.754,115.744,,,
482,0.6,0.688,-8.339,0.201,1.29e-05,0.409,0.0793,99.977,,,
483,0.699,0.94,-5.969,0.208,0.0,0.336,0.652,122.079,,,
484,0.504,0.821,-3.356,0.0598,0.0,0.0418,0.458,155.131,,,
485,0.629,0.577,-9.306,0.0306,0.00115,0.109,0.171,93.997,,,
486,0.459,0.97,-4.188,0.111,0.785,0.313,0.315,103.977,,,
487,0.516,0.989,-4.732,0.0725,0.00316,0.165,0.503,124.983,,,
488,0.485,0.872,-4.74,0.0457,1.68e-06,0.31,0.533,98.096,,,
489,0.533,0.803,-6.702,0.0376,0.0,0.392,0.165,109.998,,,
490,0.437,0.748,-6.349,0.031,3.11e-06,0.222,0.59,62.111,,,
491,0.418,0.907,-3.675,0.0584,0.000433,0.346,0.473,99.17,,,
492,0.506,0.882,-8.683,0.0737,0.795,0.174,0.14,107.994,,,
493,0.393,0.973,-3.559,0.144,0.106,0.234,0.229,174.964,,,
494,0.212,0.979,-5.088,0.145,0.0249,0.171,0.386,160.053,,,
495,0.391,0.808,-6.209,0.0892,0.0,0.149,0.737,100.304,,,
496,0.602,0.707,-4.097,0.302,0.0,0.165,0.554,75.087,,,
497,0.583,0.791,-4.192,0.0644,0.0,0.0996,0.615,151.869,,,
498,0.781,0.723,-5.564,0.107,0.0,0.162,0.764,104.972,,,
499,0.47,0.972,-4.35,0.0808,0.655,0.0243,0.146,130.043,,,
500,0.505,0.986,-4.383,0.0716,5.87e-05,0.0331,0.346,144.012,,,
501,0.207,0.944,-5.278,0.0938,0.811,0.093,0.0443,113.331,,,
502,0.765,0.327,-8.029,0.277,0.0479,0.0787,0.292,74.931,,,
503,0.854,0.569,-8.151,0.106,0.0816,0.1,0.294,80.015,,,
504,0.88,0.428,-8.28,0.206,5.07e-05,0.114,0.333,100.007,,,
505,0.349,0.935,-5.027,0.0536,0.802,0.333,0.133,173.928,,,
506,0.352,0.961,-1.717,0.134,0.00265,0.136,0.151,175.071,,,
507,0.54,0.981,-3.243,0.104,0.00207,0.0597,0.152,149.876,,,
508,0.449,0.898,-2.502,0.0571,0.000232,0.264,0.256,174.007,,,
509,0.451,0.948,-1.87,0.0744,0.0256,0.132,0.152,173.966,,,
510,0.403,0.909,-3.246,0.0724,5.75e-05,0.359,0.0769,173.953,,,
511,0.401,0.939,-5.671,0.0865,0.0928,0.126,0.201,174.035,,,
512,0.619,0.696,-6.269,0.0315,0.00555,0.38,0.727,125.986,,,
513,0.167,0.846,-4.489,0.0481,0.0115,0.419,0.481,199.632,,,
514,0.303,0.98,-3.625,0.154,0.0416,0.0396,0.155,137.947,,,
515,0.669,0.802,-9.193,0.0333,0.886,0.154,0.267,130.038,,,
516,0.664,0.953,-3.794,0.249,0.00665,0.263,0.21,125.679,,,
517,0.465,0.976,-1.717,0.332,0.138,0.345,0.236,74.164,,,
518,0.648,0.614,-6.623,0.0586,0.337,0.11,0.573,142.992,,,
519,0.598,0.553,-6.742,0.0397,0.157,0.257,0.533,123.075,,,
520,0.715,0.8,-5.144,0.057,0.0,0.0648,0.445,129.023,,,
521,0.855,0.954,-1.19,0.264,0.0,0.205,0.668,114.635,,,
522,0.644,0.945,-3.534,0.0717,0.0,0.184,0.573,91.017,,,
523,0.451,0.55,-8.137,0.262,0.0,0.0737,0.594,80.001,,,
524,0.276,0.992,-4.821,0.129,0.0156,0.0987,0.11,104.894,,,
525,0.521,0.988,-2.776,0.0756,0.0858,0.166,0.389,124.994,,,
526,0.144,0.978,-1.644,0.197,0.000141,0.816,0.367,191.787,,,
527,0.509,0.584,-4.907,0.057,9.96e-05,0.384,0.685,170.411,,,
528,0.505,0.833,-4.632,0.0475,7.9e-05,0.069,0.565,130.121,,,
529,0.43,0.991,-2.837,0.0916,0.00249,0.416,0.276,107.031,,,
530,0.491,0.956,-1.538,0.392,0.0,0.46,0.811,173.585,,,
531,0.751,0.714,-4.571,0.117,9.41e-05,0.0982,0.138,86.988,,,
532,0.72,0.744,-6.938,0.12,0.0,0.255,0.619,78.953,,,
533,0.681,0.574,-6.889,0.0456,0.0,0.0912,0.44,138.022,,,
534,0.463,0.786,-6.015,0.0532,0.00952,0.241,0.539,142.146,,,
535,0.576,0.864,-3.981,0.0462,1.68e-06,0.683,0.609,97.225,,,
536,0.563,0.86,-7.533,0.0621,0.0106,0.39,0.517,97.867,,,
537,0.57,0.915,-4.802,0.105,8.48e-05,0.178,0.676,93.54,,,
538,0.378,0.986,-2.769,0.0832,0.0,0.0833,0.492,94.458,,,
539,0.633,0.95,-4.702,0.106,0.91,0.0745,0.829,127.027,,,
540,0.447,0.694,-4.637,0.382,5.46e-06,0.167,0.509,175.868,,,
541,0.268,0.716,-4.151,0.0337,9.88e-06,0.108,0.393,160.008,,,
542,0.688,0.477,-6.684,0.036,0.0,0.115,0.257,127.866,,,
543,0.686,0.588,-8.343,0.0554,0.0,0.0954,0.617,94.519,,,
544,0.74,0.783,-5.367,0.0427,0.000308,0.123,0.812,100.011,,,
545,0.641,0.659,-7.149,0.0857,6.02e-06,0.162,0.628,116.148,,,
546,0.629,0.885,-4.508,0.0384,0.00252,0.105,0.567,99.881,,,
547,0.673,0.841,-3.564,0.0557,0.0,0.0965,0.94,97.027,,,
548,0.397,0.993,-4.923,0.133,0.0282,0.31,0.185,143.814,,,
549,0.967,0.599,-5.659,0.0706,0.0,0.0526,0.964,117.0,,,
550,0.657,0.96,-3.524,0.07,0.000997,0.109,0.567,126.02,,,
551,0.495,0.894,-4.814,0.0441,0.000596,0.103,0.213,126.03,,,
552,0.773,0.768,-2.736,0.067,7.43e-05,0.659,0.931,120.002,,,
553,0.589,0.89,-3.719,0.0603,0.00082,0.201,0.692,90.598,,,
554,0.617,0.717,-7.858,0.153,0.0,0.408,0.49,103.992,,,
555,0.645,0.798,-8.968,0.0886,0.0,0.195,0.928,84.916,,,
556,0.493,0.808,-3.365,0.0362,0.0,0.0983,0.38,117.971,,,
557,0.497,0.97,-4.851,0.0836,0.000674,0.101,0.689,138.081,,,
558,0.825,0.435,-9.582,0.0568,0.609,0.0953,0.243,119.038,,,
559,0.435,0.887,-4.07,0.0636,0.0,0.0327,0.408,199.935,,,
560,0.548,0.847,-3.237,0.186,0.0,0.0816,0.1,171.447,,,
561,0.339,0.945,-3.016,0.059,1.51e-05,0.2,0.466,176.213,,,
562,0.767,0.599,-5.176,0.0404,0.0381,0.0714,0.788,137.035,,,
563,0.227,0.905,-5.104,0.0788,0.194,0.363,0.182,199.798,,,
564,0.577,0.901,-5.981,0.0492,3.59e-06,0.672,0.337,90.997,,,
565,0.604,0.787,-3.674,0.103,0.15,0.127,0.301,126.062,,,
566,0.609,0.799,-6.883,0.24,0.0,0.108,0.582,157.74,,,
567,0.804,0.56,-6.912,0.0397,0.0,0.0608,0.768,133.682,,,
568,0.333,0.959,-4.348,0.072,0.0563,0.299,0.242,137.052,,,
569,0.619,0.628,-8.307,0.038,0.207,0.206,0.232,127.065,,,
570,0.242,0.998,-5.64,0.0895,0.88,0.284,0.18,114.831,,,
571,0.455,0.986,-4.042,0.142,0.735,0.199,0.275,134.072,,,
572,0.422,0.912,-3.111,0.0409,0.335,0.103,0.336,104.065,,,
573,0.422,0.986,-3.817,0.127,0.791,0.201,0.306,143.969,,,
574,0.425,0.926,-4.177,0.0511,0.733,0.261,0.465,96.051,,,
575,0.477,0.942,-3.187,0.0607,0.525,0.334,0.486,119.013,,,
576,0.424,0.94,-4.027,0.0442,0.827,0.268,0.513,105.041,,,
577,0.423,0.913,-4.996,0.0448,0.338,0.164,0.349,152.074,,,
578,0.52,0.975,-4.742,0.15,0.0928,0.0831,0.209,110.03,,,
579,0.244,0.943,-4.208,0.156,2.67e-05,0.157,0.544,174.333,,,
580,0.276,0.872,-10.215,0.0394,0.876,0.197,0.46,178.823,,,
581,0.611,0.95,-3.509,0.0518,1.59e-06,0.0543,0.607,132.078,,,
582,0.478,0.977,-3.162,0.0751,0.0,0.509,0.482,96.047,,,
583,0.561,0.936,-5.409,0.0613,0.0,0.102,0.594,103.055,,,
584,0.42,0.969,-3.139,0.0581,0.00861,0.379,0.182,174.038,,,
585,0.671,0.531,-5.551,0.0467,0.0,0.365,0.28,140.013,,,
586,0.431,0.95,-4.918,0.26,3.63e-05,0.272,0.56,191.936,,,
587,0.519,0.939,-2.59,0.0734,0.0,0.0993,0.381,130.019,,,
588,0.558,0.924,-4.341,0.064,3.32e-06,0.537,0.567,151.99,,,
589,0.587,0.942,-3.167,0.0727,0.00172,0.0762,0.389,103.061,,,
590,0.536,0.894,-4.515,0.0374,7.23e-05,0.12,0.322,93.033,,,
591,0.439,0.915,-7.078,0.0745,0.000899,0.326,0.34,91.993,,,
592,0.579,0.849,-5.218,0.0303,0.0,0.0909,0.581,100.021,,,
593,0.56,0.958,-3.245,0.0412,4.96e-05,0.0643,0.961,129.984,,,
594,0.416,0.942,-3.967,0.0896,0.0128,0.222,0.39,179.987,,,
595,0.387,0.94,-4.16,0.0528,0.0,0.0759,0.444,134.876,,,
596,0.566,0.869,-6.084,0.1,0.00346,0.114,0.647,178.113,,,
597,0.341,0.951,-5.848,0.173,0.251,0.68,0.343,175.629,,,
598,0.306,0.873,-3.668,0.0567,0.0,0.52,0.452,198.387,,,
599,0.736,0.811,-4.17,0.081,0.000142,0.107,0.609,103.502,,,
600,0.486,0.977,-3.463,0.0603,0.0,0.298,0.413,103.501,,,
601,0.624,0.687,-6.96,0.0359,0.0,0.114,0.655,98.078,,,
602,0.555,0.947,-3.22,0.0498,0.000328,0.225,0.455,120.979,,,
603,0.855,0.954,-1.19,0.264,0.0,0.205,0.668,114.635,,,
604,0.558,0.924,-4.341,0.064,3.32e-06,0.537,0.567,151.99,,,
605,0.654,0.83,-4.801,0.0366,1.13e-06,0.121,0.548,124.989,,,
606,0.735,0.879,-7.479,0.402,0.00309,0.405,0.425,127.991,,,
607,0.883,0.817,-5.414,0.235,0.00449,0.11,0.595,128.078,,,
608,0.507,0.729,-5.399,0.0393,1.4e-06,0.0658,0.272,105.013,,,
609,0.655,0.632,-4.802,0.0489,0.0,0.0722,0.447,120.113,,,
610,0.766,0.873,-6.381,0.143,0.0,0.0764,0.743,126.988,,,
611,0.755,0.884,-5.296,0.0638,2.97e-06,0.248,0.897,121.927,,,
612,0.791,0.862,-3.24,0.11,2.19e-05,0.0814,0.592,123.994,,,
613,0.523,0.652,-7.851,0.0459,0.0,0.0464,0.392,126.961,,,
614,0.723,0.806,-4.989,0.0521,0.876,0.276,0.539,124.976,,,
615,0.634,0.927,-3.282,0.136,0.687,0.0864,0.35,128.016,,,
616,0.817,0.754,-4.128,0.156,6.69e-06,0.0585,0.86,107.999,,,
617,0.829,0.51,-9.334,0.0369,0.00143,0.0829,0.45,119.994,,,
618,0.605,0.874,-4.949,0.0295,0.812,0.112,0.836,125.99,,,
619,0.593,0.836,-4.774,0.0463,0.0,0.117,0.406,127.087,,,
620,0.561,0.848,-5.132,0.0587,1.01e-06,0.328,0.756,96.225,,,
621,0.478,0.965,-5.022,0.0642,0.00251,0.0854,0.347,125.152,,,
622,0.708,0.772,-4.264,0.0322,0.0,0.467,0.861,103.035,,,
623,0.654,0.515,-12.185,0.0261,5.62e-06,0.174,0.677,106.191,,,
624,0.574,0.694,-4.697,0.0327,0.0,0.102,0.401,109.85,,,
625,0.693,0.789,-5.13,0.384,0.366,0.0985,0.283,117.055,,,
626,0.545,0.747,-4.877,0.0429,0.00397,0.135,0.224,128.045,,,
627,0.561,0.771,-5.533,0.036,0.000151,0.0756,0.211,128.025,,,
628,0.506,0.696,-7.567,0.0781,0.00177,0.0974,0.0606,140.018,,,
629,0.497,0.797,-5.353,0.203,0.00174,0.456,0.44,190.569,,,
630,0.729,0.486,-6.278,0.0728,0.266,0.245,0.642,128.015,,,
631,0.44,0.446,-10.537,0.0374,0.929,0.123,0.0359,128.027,,,
632,0.834,0.526,-7.056,0.151,0.778,0.841,0.243,127.99,,,
633,0.725,0.617,-8.519,0.0477,0.929,0.0865,0.0365,128.011,,,
634,0.718,0.616,-7.6,0.101,0.11,0.278,0.238,128.019,2012.0,,
635,0.655,0.819,-4.852,0.0316,0.00374,0.104,0.766,117.956,,2013,6Z8R6UsFuGXGtiIxiD8ISb
